iter	MultiClass
0	1.069936608
1	1.046528779
2	1.021434833
3	1.000413394
4	0.9779496061
5	0.9566696231
6	0.9376881611
7	0.9201549711
8	0.9030912056
9	0.8872422799
10	0.8731130268
11	0.8591939904
12	0.8461366268
13	0.8360487953
14	0.8251952063
15	0.8134575353
16	0.8031032566
17	0.7933833746
18	0.7841212388
19	0.776027365
20	0.7671091111
21	0.7586995766
22	0.7512818872
23	0.744484809
24	0.7374892448
25	0.7301576408
26	0.7240300481
27	0.7180928519
28	0.7128194183
29	0.7073229894
30	0.7024048009
31	0.6973027933
32	0.6924158674
33	0.6873080504
34	0.6826480834
35	0.6782221814
36	0.6738732452
37	0.669834139
38	0.666245121
39	0.6627801119
40	0.6588654208
41	0.6555131028
42	0.6521446884
43	0.6487314856
44	0.6453951024
45	0.6421626907
46	0.6389875829
47	0.6365657807
48	0.6339189698
49	0.6311404721
50	0.6285329478
51	0.6260641654
52	0.6234029858
53	0.6209304822
54	0.6185412946
55	0.6160071321
56	0.6136844284
57	0.6115703427
58	0.6095351366
59	0.6076866466
60	0.6056930986
61	0.6040643037
62	0.6019717659
63	0.6001018301
64	0.5985592938
65	0.5971597631
66	0.5961101056
67	0.5946602281
68	0.5931509029
69	0.5913342199
70	0.5894928489
71	0.5881842732
72	0.5867766573
73	0.5854969818
74	0.5841322945
75	0.5831416432
76	0.5819128387
77	0.5805108912
78	0.5792724968
79	0.5778705786
80	0.5767827715
81	0.5755989209
82	0.5744715211
83	0.5735883861
84	0.5724758923
85	0.5714368907
86	0.5702231029
87	0.5692357415
88	0.5678167718
89	0.5669299455
90	0.5662452938
91	0.5651268775
92	0.564123247
93	0.5632403851
94	0.5624561433
95	0.5615741714
96	0.560426117
97	0.5591377234
98	0.5581292217
99	0.5572914654
100	0.5564341082
101	0.5557452216
102	0.5549593187
103	0.5541734215
104	0.5534220889
105	0.5523791119
106	0.5518014849
107	0.550696323
108	0.5499996645
109	0.5489707875
110	0.5482409939
111	0.547229996
112	0.5467085309
113	0.5461461908
114	0.5452959574
115	0.5443536805
116	0.543760733
117	0.5430994165
118	0.5425272161
119	0.5419555906
120	0.5413769417
121	0.5407888043
122	0.5399027231
123	0.5392147751
124	0.5385453668
125	0.537983693
126	0.5374171146
127	0.5367392084
128	0.5361408815
129	0.5355876117
130	0.534944059
131	0.5342373118
132	0.5335847316
133	0.5328598848
134	0.5322444244
135	0.5313975018
136	0.530889385
137	0.5302291512
138	0.5296694886
139	0.5290619993
140	0.528682238
141	0.5281506503
142	0.5275516116
143	0.5269572843
144	0.5264788775
145	0.5258231331
146	0.5253595074
147	0.5244668684
148	0.5240629911
149	0.5233910433
150	0.5230290157
151	0.5221316241
152	0.5214991387
153	0.5211690158
154	0.5205164213
155	0.5202184126
156	0.5193908144
157	0.5185527398
158	0.5179800598
159	0.5174899511
160	0.516983619
161	0.5163436081
162	0.5155332398
163	0.5151750884
164	0.5148671965
165	0.5144786868
166	0.5138321455
167	0.5133332575
168	0.5126757321
169	0.5123904075
170	0.5120448814
171	0.5113566373
172	0.5107375425
173	0.5100736413
174	0.5097570031
175	0.5094222474
176	0.5089986314
177	0.5086339838
178	0.5082657048
179	0.5074122242
180	0.5070524658
181	0.5064640629
182	0.5060753886
183	0.5057531534
184	0.5052521008
185	0.5046333758
186	0.5044161852
187	0.5040589289
188	0.503648052
189	0.5031929236
190	0.5026811333
191	0.5023328584
192	0.5018421715
193	0.501550376
194	0.5011550458
195	0.5004726004
196	0.5000981852
197	0.4995373024
198	0.4989214582
199	0.4984182183
200	0.4978944402
201	0.4971212745
202	0.4963449925
203	0.4957509758
204	0.4953585246
205	0.4950132476
206	0.4944825963
207	0.4939214824
208	0.4935715381
209	0.4931763154
210	0.492759666
211	0.4921288294
212	0.4917551027
213	0.4914445078
214	0.4911409231
215	0.4908419731
216	0.4905280997
217	0.4902196954
218	0.489580268
219	0.4891630736
220	0.4886917235
221	0.488278097
222	0.4880040653
223	0.4875695226
224	0.4873177093
225	0.4867646535
226	0.4863501099
227	0.4859128004
228	0.4853362539
229	0.4849961964
230	0.4844136958
231	0.4840363785
232	0.4837887557
233	0.4833485021
234	0.4830388525
235	0.482577962
236	0.4821865003
237	0.4818825313
238	0.4812946426
239	0.4808115551
240	0.4802500168
241	0.4796908839
242	0.479212616
243	0.4787536102
244	0.4783901305
245	0.4778344787
246	0.4774234028
247	0.4769618685
248	0.4764600334
249	0.4760403587
250	0.4755311644
251	0.474963798
252	0.474647796
253	0.4742822917
254	0.4738997235
255	0.4735608802
256	0.4733493414
257	0.4730703783
258	0.4726840406
259	0.4723313954
260	0.4718975902
261	0.4714681714
262	0.4710199642
263	0.4704711099
264	0.4701542155
265	0.4699039347
266	0.4696069259
267	0.469252423
268	0.4687483567
269	0.4683104858
270	0.4678935176
271	0.4674574122
272	0.4669155188
273	0.4663087894
274	0.4658312475
275	0.4653227794
276	0.464802618
277	0.4645042894
278	0.4640938896
279	0.4636509123
280	0.4632501474
281	0.4628481255
282	0.4625470941
283	0.4620273799
284	0.4616072378
285	0.4613175134
286	0.4609933911
287	0.4605839162
288	0.4601157134
289	0.4595589487
290	0.4592958441
291	0.4589335186
292	0.4585612462
293	0.458111318
294	0.4575463113
295	0.4569765925
296	0.45659665
297	0.4560657352
298	0.4556113641
