iter	Passed	Remaining
0	81	40687
1	156	38870
2	219	36439
3	287	35691
4	350	34684
5	413	34049
6	475	33520
7	542	33390
8	607	33146
9	676	33162
10	746	33172
11	813	33083
12	881	33029
13	947	32877
14	1015	32823
15	1081	32717
16	1150	32680
17	1221	32720
18	1290	32675
19	1355	32538
20	1429	32601
21	1497	32527
22	1566	32483
23	1633	32392
24	1698	32275
25	1768	32237
26	1837	32194
27	1901	32058
28	1967	31948
29	2034	31873
30	2101	31799
31	2167	31702
32	2244	31758
33	2398	32876
34	2471	32830
35	2540	32745
36	2605	32598
37	2671	32480
38	2740	32389
39	2808	32297
40	2876	32200
41	2944	32111
42	3013	32028
43	3080	31920
44	3146	31813
45	3215	31731
46	3284	31659
47	3351	31559
48	3421	31496
49	3488	31393
50	3554	31295
51	3622	31210
52	3695	31164
53	3761	31066
54	3831	31002
55	3897	30901
56	3963	30802
57	4032	30727
58	4101	30654
59	4168	30571
60	4238	30501
61	4308	30435
62	4374	30347
63	4445	30285
64	4512	30202
65	4580	30121
66	4649	30047
67	4715	29958
68	4783	29879
69	4851	29801
70	4917	29713
71	4986	29640
72	5054	29563
73	5122	29487
74	5187	29398
75	5256	29324
76	5323	29244
77	5389	29160
78	5456	29078
79	5524	29001
80	5590	28918
81	5656	28835
82	5722	28748
83	5788	28666
84	5855	28586
85	5922	28511
86	5990	28439
87	6058	28365
88	6124	28284
89	6192	28209
90	6257	28123
91	6322	28040
92	6391	27971
93	6457	27891
94	6524	27816
95	6590	27737
96	6655	27651
97	6725	27588
98	6792	27512
99	6857	27430
100	6928	27369
101	7000	27316
102	7068	27246
103	7146	27211
104	7218	27154
105	7292	27106
106	7359	27029
107	7431	26974
108	7500	26905
109	7570	26841
110	7638	26769
111	7710	26710
112	7779	26643
113	7847	26572
114	7918	26509
115	7988	26443
116	8055	26369
117	8125	26303
118	8187	26213
119	8251	26129
120	8325	26076
121	8387	25986
122	8453	25911
123	8519	25832
124	8580	25740
125	8643	25655
126	8709	25579
127	8773	25497
128	8840	25424
129	8905	25345
130	8966	25257
131	9032	25180
132	9095	25097
133	9158	25013
134	9226	24946
135	9292	24870
136	9357	24793
137	9423	24719
138	9490	24649
139	9553	24565
140	9618	24489
141	9682	24411
142	9745	24330
143	9807	24246
144	9870	24166
145	9934	24086
146	10000	24014
147	10065	23939
148	10126	23854
149	10193	23784
150	10254	23701
151	10323	23635
152	10389	23562
153	10476	23539
154	10596	23585
155	10682	23555
156	10754	23496
157	10823	23427
158	10889	23354
159	10956	23283
160	11018	23200
161	11084	23127
162	11147	23047
163	11210	22967
164	11277	22897
165	11336	22809
166	11402	22737
167	11469	22666
168	11533	22588
169	11596	22511
170	11661	22436
171	11723	22356
172	11787	22280
173	11849	22201
174	11910	22120
175	11977	22050
176	12040	21971
177	12103	21895
178	12172	21829
179	12234	21750
180	12298	21674
181	12366	21607
182	12425	21524
183	12493	21456
184	12559	21385
185	12620	21305
186	12686	21234
187	12751	21162
188	12814	21086
189	12879	21013
190	12941	20936
191	13003	20859
192	13067	20785
193	13129	20708
194	13189	20630
195	13256	20560
196	13318	20485
197	13383	20413
198	13445	20337
199	13509	20264
200	13575	20194
201	13637	20118
202	13708	20055
203	13779	19993
204	13840	19917
205	13903	19842
206	13970	19774
207	14036	19704
208	14095	19626
209	14160	19554
210	14223	19481
211	14293	19417
212	14361	19350
213	14421	19273
214	14487	19203
215	14548	19128
216	14612	19057
217	14678	18987
218	14743	18917
219	14809	18848
220	14874	18777
221	14935	18702
222	15000	18632
223	15066	18563
224	15128	18490
225	15192	18418
226	15259	18351
227	15327	18285
228	15394	18218
229	15457	18145
230	15526	18081
231	15593	18013
232	15659	17944
233	15722	17872
234	15785	17800
235	15849	17729
236	15912	17658
237	15979	17590
238	16043	17520
239	16106	17448
240	16174	17382
241	16239	17312
242	16306	17245
243	16378	17184
244	16439	17110
245	16505	17042
246	16571	16974
247	16634	16902
248	16698	16832
249	16764	16764
250	16828	16694
251	16892	16623
252	16956	16554
253	17017	16481
254	17081	16411
255	17146	16342
256	17210	16272
257	17274	16203
258	17343	16138
259	17406	16067
260	17472	15999
261	17539	15932
262	17605	15864
263	17671	15796
264	17735	15727
265	17802	15661
266	17867	15591
267	17932	15523
268	17997	15455
269	18066	15390
270	18133	15323
271	18200	15255
272	18268	15189
273	18336	15124
274	18405	15058
275	18474	14993
276	18544	14928
277	18612	14863
278	18682	14798
279	18755	14736
280	18823	14670
281	18890	14603
282	18959	14538
283	19029	14473
284	19099	14408
285	19169	14343
286	19239	14278
287	19312	14216
288	19382	14151
289	19451	14085
290	19592	14071
291	19678	14017
292	19749	13952
293	19816	13884
294	19888	13820
295	19964	13758
296	20033	13692
297	20099	13624
298	20166	13556
299	20237	13491
300	20304	13424
301	20373	13357
302	20440	13289
303	20507	13221
304	20577	13156
305	20645	13088
306	20711	13020
307	20779	12953
308	20848	12886
309	20911	12816
310	20975	12747
311	21037	12676
312	21102	12607
313	21168	12539
314	21232	12469
315	21292	12398
316	21360	12331
317	21422	12260
318	21488	12192
319	21554	12124
320	21615	12053
321	21682	11986
322	21749	11918
323	21814	11849
324	21877	11780
325	21945	11713
326	22007	11643
327	22070	11573
328	22134	11504
329	22196	11434
330	22263	11366
331	22327	11298
332	22390	11228
333	22457	11161
334	22519	11091
335	22581	11021
336	22651	10955
337	22715	10887
338	22780	10818
339	22845	10750
340	22907	10681
341	22973	10613
342	23040	10546
343	23101	10476
344	23169	10409
345	23242	10344
346	23303	10274
347	23366	10206
348	23430	10137
349	23492	10068
350	23557	10000
351	23619	9930
352	23681	9861
353	23746	9793
354	23808	9724
355	23876	9657
356	23943	9590
357	24005	9521
358	24066	9452
359	24133	9385
360	24198	9317
361	24262	9249
362	24330	9182
363	24392	9113
364	24453	9044
365	24518	8976
366	24580	8908
367	24644	8839
368	24712	8773
369	24772	8703
370	24838	8636
371	24902	8568
372	24964	8499
373	25026	8431
374	25089	8363
375	25151	8294
376	25214	8226
377	25284	8160
378	25348	8092
379	25415	8025
380	25477	7957
381	25542	7890
382	25611	7823
383	25679	7757
384	25760	7694
385	25845	7633
386	25916	7567
387	25989	7502
388	26065	7437
389	26151	7375
390	26231	7312
391	26313	7249
392	26387	7184
393	26463	7119
394	26537	7054
395	26623	6992
396	26696	6926
397	26767	6859
398	26835	6793
399	26908	6727
400	26982	6661
401	27052	6594
402	27157	6536
403	27251	6475
404	27337	6412
405	27436	6352
406	27530	6290
407	27624	6229
408	27699	6163
409	27775	6097
410	27849	6030
411	27920	5963
412	28006	5899
413	28104	5838
414	28201	5776
415	28309	5716
416	28460	5664
417	28661	5622
418	28748	5557
419	28853	5495
420	28969	5436
421	29154	5388
422	29239	5322
423	29321	5255
424	29407	5189
425	29480	5121
426	29560	5053
427	29633	4985
428	29706	4916
429	29777	4847
430	29848	4778
431	29916	4709
432	29988	4640
433	30059	4571
434	30130	4502
435	30199	4432
436	30269	4363
437	30343	4295
438	30417	4226
439	30490	4157
440	30561	4088
441	30623	4018
442	30695	3949
443	30766	3880
444	30835	3811
445	30903	3741
446	30971	3672
447	31036	3602
448	31110	3533
449	31185	3465
450	31282	3398
451	31387	3333
452	31489	3267
453	31585	3200
454	31670	3132
455	31750	3063
456	31826	2994
457	31912	2926
458	31986	2857
459	32059	2787
460	32128	2717
461	32201	2648
462	32271	2578
463	32337	2508
464	32411	2439
465	32487	2370
466	32556	2300
467	32620	2230
468	32687	2160
469	32754	2090
470	32820	2020
471	32892	1951
472	32961	1881
473	33034	1812
474	33165	1745
475	33269	1677
476	33482	1614
477	33629	1547
478	33766	1480
479	33900	1412
480	34018	1343
481	34113	1273
482	34214	1204
483	34317	1134
484	34405	1064
485	34494	993
486	34582	923
487	34663	852
488	34759	781
489	34962	713
490	35054	642
491	35137	571
492	35219	500
493	35302	428
494	35380	357
495	35462	285
496	35568	214
497	35690	143
498	35779	71
499	35870	0
