# This file was generated from the request 'https://toar-data.fz-juelich.de/api/v2/analysis/statistics/map/?daterange=2015-01-01T00:00:00,2015-12-31T23:59:59&variable_id=19&statistics=median,p75,p90,p95&format=csv' received at 2024-11-15 14:57:16.569164+00:00
lat,lon,value
-34.56,-58.506,7.9
28.56,77.094,56.82
28.6787,77.2262,48.99
21.048,105.8,34.150000000000006
47.929732,106.888629,78.0
-6.888,107.61,27.8
23.728,90.398,36.75
47.913429,106.997907,39.0
1.298,103.78,48.0
-33.464142,-70.660797,15.0
52.16077306,21.03916667,19.7
52.1116,5.70842,6.54870875
40.01,116.333,42.7
31.907,34.81,11.4
53.2178,6.5789,3.7192722916666665
8.484,4.675,11.8
52.17203333,22.27277778,32.0
-33.591390623022,-70.594788,15.0
47.9176056,106.9373611,42.0
-33.049743798096,-71.614167231712,9.062
47.9153833,106.8941944,49.0
-33.673752071375,-70.953064737434,9.1
52.105,5.12446,7.360277083333333
47.863943,106.779094,58.0
51.5993,-0.068218,12.0
-36.923329602986,-73.036132300941,4.4415
-32.77898790221,-71.373031276855,9.3045
-37.021182877699,-73.149555550926,10.24
-36.784653741124,-73.052063025795,8.415
51.5184,5.14845,10.230928958333331
-34.974925077541,-71.233967512329,6.844
-45.579045667164,-72.049964505825,13.99
52.2966,4.51082,8.249309166666666
51.8414,5.85778,8.58551625
51.48879,-0.441614,12.0
31.21,121.44,40.0
23.12,113.32,35.0
-22.087,-70.193253,9.577
51.45258,0.070766,8.0
51.5210467476039,-0.213492139585065,8.0
51.46603,0.184806,12.0
51.425286,-0.345606,7.0
-36.601713211434,-72.958522830688,4.0455000000000005
-37.463035064801,-72.324575155457,21.71
-22.063792,-70.185945,18.595
-22.111064,-70.210828,21.035
-33.365775677885,-70.748288055225,13.0
-22.44283906304,-68.932546346863,12.09
-36.616167751711,-72.093040558483,5.445
-38.725302444781,-72.571192550926,4.884
-53.158295492238,-70.921497482453,4.086
-28.469998068842,-71.219652562817,6.775
-38.74869912298,-72.620788228172,5.447
-29.933006518748,-71.261966365967,8.19
-27.370329154948,-70.323906678352,11.04
-22.460270722943,-68.937706917007,4.2
-33.422301,-70.651162,16.0
-36.594880886514,-72.089253650482,10.16
47.922495,106.794805,88.0
-22.888724142633,-69.318140714844,7.0
-33.492848789461,-70.719440279762,12.0
-33.433089610143,-70.732147868717,13.0
-33.547099645619,-70.666204101852,17.0
-34.143888375919,-70.737131207664,14.89
-33.516630362266,-70.588123961971,15.0
-35.406582744695,-71.633396474869,5.324
-33.437811379126,-70.750171233135,12.0
-33.020419817382,-71.550092842922,14.585
-39.831316104673,-73.22851282209,16.04
-34.162314609087,-70.713919225517,8.04
-38.764767451719,-72.598795682209,6.856
-35.435141887663,-71.678261499336,6.5755
-23.61354215815,-70.383315682411,7.032
-33.37677352033,-70.523326784061,14.0
-35.435725588722,-71.619553864003,6.777
-45.57996447948,-72.061125987766,10.82
-40.584478665958,-73.11871982209,6.87
-33.047466597243,-71.434512871895,4.532
52.2015,4.98744,7.28537
51.5935,4.82494,10.364149166666667
51.8382,5.85694,9.8525775
51.9271,4.46134,10.767677291666669
-37.471182288689,-72.36146284977,8.1
51.9142,4.47992,12.063346666666666
51.4074,5.39333,5.972261666666666
52.2345,6.91949,7.828092916666667
-18.483427991456,-70.290550727043,11.82
-35.836942234921,-71.592865853985,6.197
-29.970390235273,-71.336038250122,8.21
-22.462144644634,-68.92806169339,11.59
47.928444,106.930189,168.0
17.443464,78.47489,52.0
22.547142,88.351048,173.5
52.22517222,21.89311111,26.4
-36.735998,-73.118693,11.27
52.55094028,19.70527778,20.8
52.21929306,21.00583333,32.5
-6.236585,106.793335,27.0
-6.182382,106.834094,22.0
21.02177,105.819002,88.65
-32.2716667,150.8858333,8.6
52.19172722,20.83888889,25.5
51.39909556,21.13916667,23.1
52.40757694,20.95555556,29.7
52.29085889,21.03916667,18.1
28.598096,77.189066,228.5
51.406968,6.965643,10.481
49.444516,10.316582,8.7
48.95218,10.59772,10.55
53.564399,9.94458,13.397
49.783942,6.690488,10.54452467
49.351143,8.423005,10.8716507
52.401352,13.059945,11.36
53.064262,14.285139,9.17
52.146264,14.638166,11.605
51.756476,14.327998,11.425
52.337336,14.538595,10.89
52.409309,12.548376,10.855
52.563835,14.015252,8.985
52.393932,13.037474,11.64
52.420442,12.552303,10.51
52.832467,13.822211,10.38
52.99875,11.73846,8.024999999999999
51.746344,14.33455,10.37
52.608609,12.885194,10.37
52.677651,13.582269,11.34
52.388869,13.094618,11.09
51.5645,14.3764,10.83
52.349703,13.424304,11.47
49.304889,10.572297,10.63
50.058195,12.18865,10.685
49.869422,9.171544,10.16
49.991518,9.117973,9.82
48.376576,10.88837,10.68
49.89833,10.887686,10.76
48.177175,12.829314,11.03
50.260578,10.959312,9.825
48.769444,11.428766,11.24
48.909518,11.879245,12.03
47.72514,10.306561,8.8
47.554391,9.690021,10.46
48.137252,11.564924,11.82
48.154534,11.554669,9.99
48.853211,11.777818,12.62
48.397079,10.008293,11.415
49.462229,11.025473,11.22
49.321955,12.128139,11.44
49.438464,12.548869,7.09
49.67895,12.159361,11.07
49.804695,9.95642,9.48
48.021657,12.538174,10.02
48.173194,11.648036,9.6
48.326013,10.903051,10.21
47.968753,11.220172,6.78
48.149606,11.536513,13.12
48.573629,13.422039,12.85
47.648459,12.188324,10.14
53.060045,8.916966,8.05
53.562455,8.569405,8.57
53.1177,8.69506,7.41
50.077191,8.230316,11.70507526
50.124589,8.691911,13.032274725
51.430897,8.928171,8.30477476
50.550028,9.684854,12.30545044
50.584108,8.668579,12.438975335
50.807018,8.769396,12.196449755
49.643238,8.642,11.86107445
53.56414,9.967882,8.971
53.523262,10.021227,10.356
53.50793,9.990569,10.2915
53.592301,10.053859,8.52
53.817775,12.064708,9.0
53.78175,12.175512,8.625
54.092278,12.141994,10.64
54.17133,12.080003,7.96
54.09262,12.099553,10.4
54.17729,12.09792,8.21
53.59617,8.09059,6.01341
52.25534,8.05286,7.608995
52.17017,9.06255,7.5302
51.55107,9.94976,6.55958
52.49855,7.31747,8.3056555
52.3595,9.71577,9.928035
52.99796,7.94257,7.514620000000001
52.36292,9.70612,7.5804
52.95702,11.16705,7.57455
52.2703,8.04147,10.0082
51.5302,9.92833,10.7294
52.15369,10.45591,7.64534
52.26673,10.54055,9.00152
53.142836,8.212084,9.07654
51.641383,7.331405,10.7555
51.536911,7.457463,10.102
51.547495,7.693835,9.432
51.533646,7.101786,11.139
51.496527,6.981045,11.853
51.570662,8.148061,9.11
51.249211,6.732383,9.4885
50.883475,6.469363,9.701
51.277647,7.231895,10.224
51.342561,6.670195,11.233
51.448762,7.582295,9.516
51.443012,8.360714,9.923
50.947367,6.957701,12.1035
51.485492,6.735431,11.205
49.455378,8.425833,10.33575058
49.994975,8.273965,10.1406002
50.000973,8.261277,10.63834953
49.270263,7.826521,5.614249945
49.446747,7.768869,10.24052477
49.842136,7.866208,9.329199795
49.629528,8.35533,11.42887497
50.355581,7.596583,10.74619961
50.424568,7.732456,6.26795006
50.431398,7.460812,8.89304924
54.093233,10.240623,6.165
53.924712,9.532635,9.0
54.78143,9.43809,8.471
53.835492,10.695936,7.641500000000001
54.304676,10.135158,10.41
49.233464,6.987601,9.52
52.268369,11.864795,9.09012
51.496188,11.979073,9.694115
52.127906,11.611456,9.262
51.662452,11.043383,6.302355
51.494756,11.981314,15.967
51.837055,11.891655,9.531255
51.197249,11.96096,9.75719
50.979455,11.037924,8.43826485
50.655861,12.205199,9.38501978
50.977462,11.32607,10.81871891
52.80077,10.75673,6.57
51.462734,13.526796,11.32
53.631805,11.398332,10.22
51.61365,10.42275,9.8427445
51.672809,6.629576,10.329
51.169967,6.458842,10.019
53.928028,9.511769,12.278
53.698939,10.775796,8.942
51.475183,11.983415,10.910374999999998
50.653245,10.668641,8.24913025
51.75413,14.325549,10.98
52.481882,13.84825,11.85
42.31389999999998,19.52342,8.251999999999999
41.31989999999998,19.4492,9.128
40.40308999999999,19.4862,6.86
40.62593,20.78018,12.677
47.7161111105768,13.6322222222222,7.41125011
47.0416679994646,15.433056,16.249999995000003
47.6830555994656,13.1,11.0
48.219109999466674,16.349818,90.9205017
48.2167394439111,16.3809180555556,13.82849979
48.2167394439111,16.3809180555556,117.01049804
47.2626193994649,11.3923611,10.645500175
48.16489999946657,14.0366,13.0
48.3061194439113,14.2975027777778,13.0
48.162069443911,16.5256138888889,24.94300078
47.4285527994652,11.8718028,10.842
47.0447222216868,15.1527777777778,11.41874503
