lat,lon,area_code,type_of_area,type_of_area_pred_rf,type_of_area_pred_cboost,type_of_area_pred_lgbm,type_of_area_pred_voting
37.9722,-122.5189,openaq_2002,unknown,urban,urban,urban,urban
14.35222,100.565325,openaq_225676,unknown,urban,urban,urban,urban
34.6686,112.4433,3022A,unknown,urban,urban,urban,urban
41.322472,-95.937992,openaq_1075,unknown,urban,suburban,suburban,suburban
45.29413,-73.34857,055301,unknown,rural,rural,suburban,rural
19.2669,-98.886,openaq_1809,unknown,urban,urban,suburban,urban
37.8714,-87.4633,openaq_1343,unknown,rural,rural,rural,rural
30.6465,111.3549,openaq_9901,unknown,urban,urban,urban,urban
27.6435,113.8676,openaq_10313,unknown,urban,urban,urban,urban
34.99722222222222,136.90277777777777,jp23222050,unknown,suburban,suburban,suburban,suburban
50.1439,-122.9611,openaq_1399,unknown,suburban,suburban,suburban,suburban
-37.6792755,144.965714,openaq_10719,unknown,suburban,suburban,suburban,suburban
21.5165,111.01,openaq_43573,unknown,urban,urban,urban,urban
35.73305555555556,139.7888888888889,jp13118010,unknown,urban,urban,urban,urban
46.6255599994641,14.31806,AT2KA21,unknown,urban,urban,urban,urban
57.7013899995155,11.99501,openaq_9467,unknown,urban,urban,urban,urban
35.69361111111111,139.4188888888889,jp13202010,unknown,urban,urban,urban,urban
47.9514305555556,106.904072222222,openaq_7035,unknown,urban,urban,urban,urban
34.71527777777778,135.38833333333332,jp28202520,unknown,urban,urban,urban,urban
26.0936,119.5799,openaq_9868,unknown,suburban,urban,urban,urban
40.890083,-122.385399,openaq_7465,unknown,rural,rural,rural,rural
35.4216,119.523,openaq_10283,unknown,urban,urban,urban,urban
35.89666666666667,139.9211111111111,jp12217520,unknown,urban,urban,suburban,urban
25.777222222222,-100.18833333333,openaq_7919,unknown,suburban,suburban,suburban,suburban
40.010264,-105.276379,08-013-0008,unknown,urban,urban,urban,urban
51.297497,-116.966853,103202,unknown,suburban,suburban,suburban,suburban
23.7233,114.6892,1698A,unknown,urban,urban,urban,urban
41.1694,80.292,openaq_9197,unknown,urban,urban,urban,urban
47.2712899994649,11.4169445,AT72106,unknown,urban,urban,urban,urban
47.1258485147083,13.8069262538602,openaq_2879,unknown,suburban,urban,suburban,suburban
