iter	TotalF1	MultiClass
0	0.7006090373	1.062948749
1	0.6966555384	1.032006809
2	0.7059754071	1.005891108
3	0.7035569082	0.982208304
4	0.7050426291	0.959990419
5	0.7061993138	0.9392016056
6	0.7083398762	0.9201219371
7	0.7116813888	0.9017191759
8	0.7109303513	0.8841734337
9	0.7112331884	0.8690816173
10	0.7128959454	0.8545770402
11	0.7127946689	0.8409889703
12	0.7131612161	0.8289500887
13	0.7135505929	0.8161830784
14	0.7125035336	0.806224305
15	0.7126752295	0.7966448957
16	0.7132445208	0.7856584666
17	0.7141416996	0.7763750331
18	0.7142989356	0.768519094
19	0.7149387871	0.7606928985
20	0.7148499987	0.7531002511
21	0.7152834697	0.7471422532
22	0.7153413134	0.7414875662
23	0.7142860959	0.7361255296
24	0.7149694886	0.7301727321
25	0.7151527371	0.724456307
26	0.7156094114	0.7197992931
27	0.7158834831	0.7148553468
28	0.7167683563	0.710062816
29	0.7174380154	0.7055872293
30	0.717977366	0.7014717799
31	0.7184697606	0.6982977995
32	0.7189376101	0.6948226565
33	0.7187731043	0.6910129439
34	0.7181791228	0.6874678056
35	0.7184524469	0.6842963873
36	0.7193379611	0.6807813326
37	0.7187500325	0.6775494641
38	0.7205920413	0.6747407794
39	0.7201021709	0.6716912262
40	0.7206569368	0.6696501785
41	0.721451742	0.6674122922
42	0.7216095149	0.6654565266
43	0.7222813421	0.6629545118
44	0.7227934203	0.6615406317
45	0.7232274389	0.6600485083
46	0.7232163502	0.6574683959
47	0.723366432	0.656454084
48	0.7237543217	0.6549124086
49	0.7238724056	0.6530458121
50	0.7245308141	0.6509842923
51	0.725178202	0.6492268125
52	0.7248666289	0.6478115037
53	0.7248974542	0.6472960969
54	0.7248700323	0.6451584005
55	0.7252267609	0.6437076178
56	0.7252772415	0.6425037067
57	0.725366692	0.6409794968
58	0.725234819	0.6398082839
59	0.725467893	0.6384852017
60	0.7258282508	0.6373854346
61	0.7261185614	0.6361313001
62	0.7266008383	0.6348763145
63	0.7265103677	0.6335239102
64	0.7264952329	0.6324018199
65	0.7265625033	0.6314193385
66	0.7265291203	0.630553245
67	0.7263180198	0.6294970425
68	0.7275358662	0.6286829435
69	0.7270730774	0.6278915109
70	0.7273139362	0.6268618093
71	0.7277263921	0.6260581436
72	0.7276784572	0.625045464
73	0.7277954489	0.6248167167
74	0.7280496327	0.6243667378
75	0.7277172633	0.6237974728
76	0.7278483353	0.6232539419
77	0.7285134308	0.6222576754
78	0.7292034813	0.6214347181
79	0.7296124721	0.6208762689
80	0.7295286355	0.6200021803
81	0.7296598627	0.6191637863
82	0.72929479	0.618251222
83	0.7288710956	0.6175243036
84	0.7295243348	0.6169496741
85	0.729719268	0.6164049865
86	0.7299427063	0.6155566592
87	0.7304782315	0.6149129325
88	0.730886859	0.6142509905
89	0.7307237051	0.613652108
90	0.7310097495	0.6131831812
91	0.7311922364	0.61277093
92	0.7309745288	0.6123488374
93	0.7307029291	0.6117624249
94	0.7311918929	0.6112339776
95	0.7302799125	0.6108366397
96	0.7301839175	0.6105962867
97	0.730749455	0.6100461611
98	0.7307554292	0.6094254429
99	0.7311778088	0.6090263977
100	0.731538838	0.6084902934
101	0.7317791484	0.6082786427
102	0.731857589	0.608145227
103	0.7316857121	0.6078982133
104	0.731703381	0.6072217707
105	0.7330725659	0.6067529787
106	0.7326342755	0.6063197382
107	0.7330324632	0.6058160793
108	0.7336286549	0.6052190139
109	0.7338135392	0.6047818186
110	0.7334097574	0.6043992612
111	0.7340725263	0.6037862826
112	0.7339052098	0.6035338545
113	0.733844329	0.6033247159
114	0.7345329059	0.6028247014
115	0.734541494	0.6024418391
116	0.7349127648	0.6021478906
117	0.7351267963	0.6018027496
118	0.7351858188	0.6014122527
119	0.7351586632	0.6012132165
120	0.7357470698	0.6009447526
121	0.7361354549	0.6004723028
122	0.736009046	0.6000899982
123	0.7355478363	0.599894069
124	0.7358998523	0.5994936607
125	0.7358787779	0.5992050881
126	0.7354006312	0.5988820931
127	0.7352710675	0.5986519463
128	0.7354433148	0.5982998745
129	0.735841777	0.5981874547
130	0.7352180279	0.5975422023
131	0.7359909111	0.5971050143
132	0.7359721659	0.5967768642
133	0.7367190258	0.5964076466
134	0.7364256105	0.5960442035
135	0.7364203064	0.596027618
136	0.7364256105	0.5960016304
137	0.7367146035	0.5956042027
138	0.7364336762	0.595498715
139	0.7367939508	0.5952079156
140	0.7365332015	0.5948869859
141	0.7368540682	0.5945238631
142	0.7372733014	0.5941246395
143	0.7376992045	0.593787955
144	0.7375413614	0.5935403208
145	0.7379094417	0.593218953
146	0.7380485777	0.5929845807
147	0.7384059562	0.5926309604
148	0.7378578482	0.5924265357
149	0.737854481	0.5922514356
150	0.7378442245	0.5921536636
151	0.7386950297	0.5919443417
152	0.7387125641	0.5918604768
153	0.7389378506	0.5916088258
154	0.7388334311	0.5912017228
155	0.7396438327	0.5908266575
156	0.73970589	0.5906034688
157	0.740036429	0.5904037237
158	0.7399486067	0.5901590082
159	0.7401524797	0.5898878632
160	0.7405258676	0.5894389999
161	0.7407104319	0.5892258162
162	0.7403697317	0.5891368565
163	0.7411126261	0.5887954329
164	0.7414121465	0.5885872054
165	0.741061727	0.5883031374
166	0.7410678364	0.5880808345
167	0.7411173954	0.587716296
168	0.7408406084	0.5875601961
169	0.7412566769	0.5875411973
170	0.7412823888	0.5873123552
171	0.7419796423	0.5868260655
172	0.7422766618	0.5866129727
173	0.7421655004	0.5864662898
174	0.7424623308	0.5862235693
175	0.7427340107	0.5860897169
176	0.7426433117	0.5858070631
177	0.7428234105	0.5856980254
178	0.7428868635	0.5854004245
179	0.7431189123	0.5851115889
180	0.7428445208	0.5847673941
181	0.742550368	0.584406731
182	0.7430060181	0.5839108745
183	0.7427026346	0.5836439956
184	0.7434717043	0.5830655145
185	0.7432220433	0.5828994908
186	0.7432736035	0.5827670695
187	0.7432716481	0.5824339191
188	0.7431781649	0.5819521509
189	0.742720062	0.581572265
190	0.7431410395	0.5814739826
191	0.7434461772	0.5811920216
192	0.7433723304	0.5810048549
193	0.7438561921	0.5807608733
194	0.7437740511	0.5806614502
195	0.7440733286	0.5802044605
196	0.7439402336	0.5797858353
197	0.744077483	0.5794189321
198	0.7444366155	0.5790551945
199	0.7445725014	0.5787755075
200	0.7446719494	0.5784364875
201	0.745095163	0.5781269031
202	0.7457849647	0.5778082588
203	0.7466163696	0.5773495727
204	0.7466295872	0.5769445744
205	0.7470662049	0.5766793692
206	0.7475666899	0.5763161401
207	0.7473511086	0.5759830106
208	0.7477087709	0.57553221
209	0.7479419172	0.5753031854
210	0.7477878473	0.5747313617
211	0.7477400516	0.5743753791
212	0.7488584997	0.573989123
213	0.7487108991	0.5735077691
214	0.7493099842	0.5732127423
215	0.7493941183	0.5729254046
216	0.7493805874	0.5725445745
217	0.7491642799	0.5722709171
218	0.7489323436	0.5718292877
219	0.7492828332	0.5712219477
220	0.7501159842	0.5708903684
221	0.750198765	0.5704956467
222	0.7502510451	0.5703141725
223	0.7504773942	0.5699245332
224	0.7510700599	0.5695533469
225	0.7509723637	0.5692505035
226	0.7511565407	0.568916992
227	0.7513948554	0.5686237804
228	0.7516581129	0.5681886405
229	0.7521657581	0.5679028131
230	0.7524517953	0.5676366365
231	0.7526953846	0.5671505201
232	0.7527546685	0.5666965322
233	0.7529763619	0.5663664671
234	0.753153889	0.5660314268
235	0.7532078912	0.565724347
236	0.753905962	0.5653571797
237	0.7543776778	0.5650396466
238	0.7544977108	0.5648432153
239	0.7546445572	0.5644768702
240	0.7546820453	0.5640828709
241	0.7546429053	0.5637008244
242	0.7545906941	0.5634261087
243	0.7547004159	0.5630455267
244	0.7548193487	0.5626129367
245	0.7548585484	0.5621919363
246	0.7549857046	0.5619916451
247	0.7558712963	0.5615946651
248	0.7561050222	0.5613172963
249	0.7563383394	0.5611124499
250	0.755631381	0.5608978595
251	0.7571075914	0.5605853746
252	0.7576139562	0.5603017722
253	0.7578629949	0.5600284524
254	0.7576874761	0.5597333271
255	0.7576122666	0.5594321505
256	0.7578608702	0.5590883091
257	0.7582019892	0.5588012775
258	0.7581447554	0.5585222217
259	0.7580939631	0.5582849794
260	0.7582501249	0.5579998179
261	0.7584276386	0.5578167638
262	0.7584885038	0.5576093936
263	0.7586051522	0.5574092237
264	0.7584872282	0.5570822816
265	0.7590709227	0.5568881908
266	0.7588391	0.5567698351
267	0.7586551039	0.5565382291
268	0.7590005178	0.556039106
269	0.7586585286	0.555868849
270	0.7593981713	0.5554703888
271	0.7600519938	0.5551751727
272	0.7597549564	0.5548320765
273	0.7599323146	0.5546194349
274	0.7601652947	0.5544558877
275	0.7607337489	0.5542788658
276	0.7605168401	0.5539207741
277	0.7608662712	0.5537882844
278	0.7609935821	0.5534560798
279	0.7608717773	0.5532950211
280	0.7608215126	0.5531690404
281	0.7611793395	0.5530343168
282	0.7610038374	0.5527374918
283	0.7614128421	0.5523576035
284	0.7618299329	0.5520977611
285	0.7620648849	0.5518229523
286	0.7619536958	0.5515166057
287	0.7628490879	0.5513350267
288	0.7629691088	0.5510914734
289	0.7632020611	0.550627604
290	0.7634276738	0.550392374
291	0.7638583891	0.5502342491
