iter	Passed	Remaining
0	69	68945
1	80	40103
2	89	29655
3	98	24457
4	104	20872
5	113	18751
6	120	17055
7	127	15768
8	134	14760
9	141	14039
10	148	13307
11	156	12902
12	163	12411
13	173	12186
14	182	11981
15	189	11637
16	197	11439
17	204	11154
18	214	11088
19	223	10930
20	231	10772
21	238	10623
22	246	10455
23	253	10326
24	260	10172
25	268	10062
26	276	9972
27	283	9848
28	291	9754
29	299	9677
30	305	9563
31	314	9522
32	322	9450
33	330	9398
34	338	9322
35	345	9257
36	352	9171
37	360	9125
38	367	9055
39	375	9015
40	383	8959
41	389	8880
42	395	8811
43	402	8753
44	408	8673
45	416	8638
46	424	8610
47	434	8611
48	443	8597
49	450	8563
50	457	8516
51	466	8502
52	475	8495
53	482	8445
54	489	8415
55	496	8376
56	504	8348
57	511	8307
58	518	8268
59	524	8224
60	531	8186
61	541	8193
62	548	8154
63	556	8131
64	562	8091
65	570	8067
66	575	8010
67	582	7984
68	588	7946
69	595	7905
70	601	7870
71	606	7817
72	614	7803
73	619	7757
74	626	7727
75	634	7712
76	642	7695
77	648	7667
78	656	7649
79	663	7635
80	671	7622
81	680	7622
82	688	7608
83	695	7584
84	702	7567
85	710	7548
86	717	7528
87	726	7525
88	735	7523
89	743	7516
90	752	7515
91	758	7487
92	766	7480
93	773	7459
94	781	7442
95	787	7414
96	792	7379
97	800	7370
98	808	7356
99	815	7336
100	824	7334
101	830	7312
102	836	7284
103	844	7273
104	851	7258
105	858	7242
106	865	7224
107	872	7209
108	881	7201
109	887	7181
110	893	7159
111	899	7134
112	905	7109
113	914	7105
114	922	7096
115	930	7088
116	936	7065
117	942	7048
118	951	7047
119	959	7035
120	966	7021
121	974	7011
122	981	6999
123	989	6992
124	996	6974
125	1006	6979
126	1013	6966
127	1019	6944
128	1028	6941
129	1033	6919
130	1040	6903
131	1047	6886
132	1053	6865
133	1060	6851
134	1066	6832
135	1070	6801
136	1074	6770
137	1081	6756
138	1090	6751
139	1096	6733
140	1104	6730
141	1111	6717
142	1119	6708
143	1126	6693
144	1133	6684
145	1141	6675
146	1146	6654
147	1153	6641
148	1159	6624
149	1166	6610
150	1171	6588
151	1181	6590
152	1190	6590
153	1197	6577
154	1205	6571
155	1212	6562
156	1218	6542
157	1225	6528
158	1232	6518
